Part;Value;Device;Package
B1;DBS103G;DBS103G;DBS
C1;470u 25V;CPOL-EUE5-10.5;E5-10,5
C2;1u 25V;C-EUC1206;C1206
C3;100n;C-EUC0603;C0603
C4;10u 6V3;C-EUC1206;C1206
C5;10u 6V3;C-EUC1206;C1206
C6;10u 6V3;C-EUC1206;C1206
C7;100n;C-EUC0603;C0603
C8;100n;C-EUC0603;C0603
C9;100n;C-EUC0603;C0603
C10;1n;C-EUC0603;C0603
C11;100n;C-EUC0603;C0603
D1;TRANSIL_SMB;TRANSIL_SMB;SMB_CA
D2;SK14;SS14;SMA
D3;1N41481206;1N41481206;D1206
D4;SK14;SS14;SMA
D5;TRANSIL_SMB;TRANSIL_SMB;SMB_CA
D6;TRANSIL_SMB;TRANSIL_SMB;SMB_CA
DC1;;NME;NME
FID1;FIDICUAL1.0;FIDICUAL1.0;FID-1.0
FID2;FIDICUAL1.0;FIDICUAL1.0;FID-1.0
FID3;FIDICUAL1.0;FIDICUAL1.0;FID-1.0
FID4;FIDICUAL1.0;FIDICUAL1.0;FID-1.0
GND;;2,54/1,1;2,54/1,1
IC1;MCP16301;MCP16301;SOT23-6
IC2;MDBT40;MDBT40;MDBT40
IC3;ATECC508A;ATECC508A;SO08
J1;POGO_SOCKET;POGO_SOCKET;POGO_SOCKET
J2;;PINHD-1X5;1X05
K1;AQY21SOP;AQY21SOP;SOP04
L1;10u;L-EUL1210;L1210
L2;DLG-0403S;DLG-0403S;DLG-0403-S
OK1;LTV816S;LTV816S;SMD4
POW1;;3,17/1,3;3,17/1,3
POW2;;3,17/1,3;3,17/1,3
Q1;BSS123;BSS123;SOT23
Q2;IRF9530;IRF9530;TO220BV
Q3;BSS123;BSS123;SOT23
R1;PTC;PTC;2920
R2;10k 1%;R-EU_R0603;R0603
R3;51k 1%;R-EU_R0603;R0603
R4;1k5;R-EU_R0603;R0603
R5;1k5;R-EU_R0603;R0603
R6;10k;R-EU_R0603;R0603
R7;4k7;R-EU_R0603;R0603
R8;4k7;R-EU_R0603;R0603
R9;10k;R-EU_R0603;R0603
R10;10R;R-EU_R0603;R0603
R11;10k;R-EU_R0603;R0603
R12;10k;R-EU_R0603;R0603
R13;10k;R-EU_R0603;R0603
R14;360R;R-EU_R0603;R0603
R15;0R;R-EU_R1206;R1206
R16;0R;R-EU_R1206;R1206
REL1-1;;3,17/1,3;3,17/1,3
REL1-2;;3,17/1,3;3,17/1,3
REL2-1;;3,17/1,3;3,17/1,3
REL2-2;;3,17/1,3;3,17/1,3
SB1;0R;R-EU_R0603;R0603
