Designator;Quantity;Description;Package
B1, B1;2;DBS103G;DBS
C10;1;1n;C0603
C3, C7, C8, C9, C11, C3;6;100n;C0603
C2, C2;2;1u 25V;C1206
C4, C5, C6, C4, C47, C55;6;10u 6V3;C1206
C1, C1, C1;3;470u 25V;E5-10,5
D1, D5, D6;3;TRANSIL_SMB;SMB_CA
D2, D4;2;SK14;SMA
D3;1;1N41481206;D1206
DC1;1;;NME
GND;1;;2,54/1,1
IC1;1;MCP16301;SOT23-6
IC2;1;MDBT40;MDBT40
IC3;1;ATECC508A;SO08
J1;1;POGO_SOCKET;POGO_SOCKET
J2;1;;1X05
K1;1;AQY21SOP;SOP04
L1;1;10u;L1210
L2;1;DLG-0403S;DLG-0403-S
OK1;1;LTV816S;SMD4
Q1, Q3;2;BSS123;SOT23
Q2;1;IRF9530;TO220BV
R15, R16;2;0R;R1206
R10;1;10R;R0603
R14;1;360R;R0603
R4, R5;2;1k5;R0603
R7, R8;2;4k7;R0603
R2;1;10k 1%;R0603
R6, R9, R11, R12, R13;5;10k;R0603
R3;1;51k 1%;R0603
R1;1;PTC;2920
REL1-1, REL1-2, REL2-1, REL2-2;4;;3,17/1,3
SB1;1;0R;R0603
